FeedbackID,OrderID,CustomerID,FeedbackDate,Rating,Satisfaction,RecommendLikelihood,ProductCategory,Comments
FB00742,ORD01452,C0007,2023-01-04,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00715,ORD01674,C0294,2023-01-09,5,Very Satisfied,10,Home Appliances,Fast delivery and great customer service.
FB00853,ORD02382,C0059,2023-01-09,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00529,ORD00716,C0273,2023-01-11,4,Satisfied,7,Home Appliances,Satisfied with the purchase.
FB00684,ORD01998,C0281,2023-01-12,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00287,ORD01926,C0091,2023-01-14,5,Very Satisfied,10,Home Appliances,Excellent product quality! Highly recommend.
FB00400,ORD02019,C0120,2023-01-16,5,Very Satisfied,9,Electronics,Will definitely buy again.
FB00961,ORD00553,C0153,2023-01-21,4,Satisfied,9,Home Appliances,"Good product, works as expected."
FB00080,ORD01784,C0104,2023-01-22,4,Satisfied,8,Home Appliances,Satisfied with the purchase.
FB00942,ORD00312,C0324,2023-01-23,5,Very Satisfied,10,Home Appliances,Will definitely buy again.
FB00384,ORD00254,C0186,2023-01-23,3,Neutral,5,Electronics,"Average quality, expected more."
FB00886,ORD00977,C0005,2023-01-23,5,Very Satisfied,10,Lifestyle Goods,Best purchase I have made this year!
FB00389,ORD02205,C0193,2023-01-27,3,Neutral,6,Home Appliances,"Product is okay, nothing special."
FB00450,ORD02015,C0078,2023-01-28,4,Satisfied,8,Electronics,Happy with the quality.
FB00084,ORD00633,C0124,2023-01-28,3,Neutral,7,Electronics,"Product is okay, nothing special."
FB00830,ORD01633,C0467,2023-01-31,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00385,ORD00781,C0046,2023-01-31,4,Satisfied,9,Home Appliances,Satisfied with the purchase.
FB00055,ORD02199,C0170,2023-02-03,5,Very Satisfied,9,Electronics,Excellent product quality! Highly recommend.
FB00634,ORD01362,C0336,2023-02-04,4,Satisfied,7,Home Appliances,"Product is fine, delivery was on time."
FB00793,ORD02469,C0034,2023-02-05,4,Satisfied,9,Home Appliances,Meets my needs perfectly.
FB00424,ORD01318,C0089,2023-02-06,3,Neutral,6,Electronics,"Average quality, expected more."
FB00328,ORD00427,C0042,2023-02-07,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00428,ORD02231,C0484,2023-02-08,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00054,ORD00829,C0405,2023-02-08,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00796,ORD01967,C0395,2023-02-10,3,Neutral,6,Home Appliances,"Average quality, expected more."
FB00259,ORD01739,C0333,2023-02-11,5,Very Satisfied,10,Home Appliances,Excellent product quality! Highly recommend.
FB00863,ORD01222,C0151,2023-02-12,5,Very Satisfied,9,Electronics,Will definitely buy again.
FB00499,ORD00368,C0065,2023-02-12,3,Neutral,7,Electronics,It works but could be better.
FB00655,ORD00229,C0127,2023-02-13,3,Neutral,6,Lifestyle Goods,Decent product for the price.
FB00775,ORD01365,C0299,2023-02-15,4,Satisfied,7,Lifestyle Goods,"Good product, works as expected."
FB00749,ORD00269,C0211,2023-02-15,5,Very Satisfied,10,Home Appliances,Best purchase I have made this year!
FB00611,ORD01764,C0066,2023-02-16,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00883,ORD01904,C0258,2023-02-16,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00984,ORD01716,C0283,2023-02-16,5,Very Satisfied,9,Electronics,Will definitely buy again.
FB00436,ORD02090,C0104,2023-02-16,4,Satisfied,7,Electronics,"Good product, works as expected."
FB00747,ORD00476,C0024,2023-02-18,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00159,ORD00217,C0030,2023-02-19,2,Dissatisfied,5,Home Appliances,Delivery was delayed.
FB00756,ORD00323,C0326,2023-02-19,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00123,ORD00359,C0373,2023-02-24,1,Very Dissatisfied,3,Lifestyle Goods,Very disappointed with the quality.
FB00394,ORD00060,C0485,2023-02-25,4,Satisfied,9,Electronics,"Product is fine, delivery was on time."
FB00563,ORD01538,C0475,2023-02-25,3,Neutral,5,Lifestyle Goods,No complaints but not impressed either.
FB00444,ORD01544,C0284,2023-02-25,1,Very Dissatisfied,1,Lifestyle Goods,Product arrived damaged.
FB00595,ORD02315,C0394,2023-02-26,4,Satisfied,9,Electronics,Satisfied with the purchase.
FB00685,ORD02296,C0354,2023-02-26,4,Satisfied,7,Home Appliances,Satisfied with the purchase.
FB00506,ORD02279,C0312,2023-02-26,5,Very Satisfied,9,Lifestyle Goods,Great value for money.
FB00271,ORD01505,C0260,2023-02-27,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00048,ORD00637,C0126,2023-02-27,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00812,ORD02042,C0443,2023-03-02,2,Dissatisfied,4,Lifestyle Goods,Delivery was delayed.
FB00440,ORD01520,C0419,2023-03-06,4,Satisfied,8,Electronics,"Good product, works as expected."
FB00841,ORD00603,C0233,2023-03-06,5,Very Satisfied,9,Electronics,Product exceeded my expectations.
FB00678,ORD00096,C0065,2023-03-07,3,Neutral,7,Lifestyle Goods,No complaints but not impressed either.
FB00365,ORD00136,C0496,2023-03-08,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00264,ORD02229,C0321,2023-03-08,5,Very Satisfied,9,Electronics,Product exceeded my expectations.
FB00100,ORD00362,C0039,2023-03-10,5,Very Satisfied,9,Lifestyle Goods,Will definitely buy again.
FB00375,ORD00412,C0426,2023-03-11,3,Neutral,7,Electronics,"Average quality, expected more."
FB00025,ORD01278,C0045,2023-03-12,2,Dissatisfied,3,Home Appliances,Delivery was delayed.
FB00210,ORD01313,C0264,2023-03-12,2,Dissatisfied,3,Lifestyle Goods,Product quality could be better.
FB00139,ORD00544,C0465,2023-03-13,4,Satisfied,8,Lifestyle Goods,Satisfied with the purchase.
FB00909,ORD02353,C0150,2023-03-15,5,Very Satisfied,10,Home Appliances,Product exceeded my expectations.
FB00573,ORD01261,C0431,2023-03-15,2,Dissatisfied,4,Home Appliances,Not what I expected from the description.
FB00665,ORD01487,C0134,2023-03-16,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00316,ORD02380,C0158,2023-03-17,5,Very Satisfied,10,Electronics,Will definitely buy again.
FB00579,ORD00872,C0296,2023-03-17,4,Satisfied,8,Electronics,"Product is fine, delivery was on time."
FB00065,ORD00105,C0246,2023-03-17,3,Neutral,6,Lifestyle Goods,"Average quality, expected more."
FB00557,ORD01933,C0111,2023-03-17,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00032,ORD00127,C0047,2023-03-17,4,Satisfied,7,Lifestyle Goods,Happy with the quality.
FB00491,ORD01224,C0176,2023-03-19,4,Satisfied,9,Electronics,"Good product, works as expected."
FB00609,ORD01782,C0118,2023-03-19,5,Very Satisfied,9,Home Appliances,Great value for money.
FB00918,ORD01651,C0028,2023-03-20,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00820,ORD01873,C0196,2023-03-20,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00068,ORD01834,C0135,2023-03-21,4,Satisfied,9,Electronics,"Good product, works as expected."
FB00556,ORD01412,C0422,2023-03-21,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00833,ORD00820,C0420,2023-03-22,4,Satisfied,9,Lifestyle Goods,"Product is fine, delivery was on time."
FB00056,ORD00385,C0232,2023-03-22,4,Satisfied,9,Electronics,Happy with the quality.
FB00305,ORD02097,C0007,2023-03-23,4,Satisfied,7,Lifestyle Goods,"Good product, works as expected."
FB00122,ORD01648,C0383,2023-03-23,2,Dissatisfied,3,Lifestyle Goods,Delivery was delayed.
FB00900,ORD01952,C0041,2023-03-24,4,Satisfied,8,Electronics,"Good product, works as expected."
FB00891,ORD00706,C0484,2023-03-24,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00810,ORD02010,C0094,2023-03-24,4,Satisfied,7,Electronics,Happy with the quality.
FB00012,ORD02099,C0240,2023-03-25,5,Very Satisfied,10,Lifestyle Goods,Product exceeded my expectations.
FB00936,ORD00008,C0227,2023-03-26,4,Satisfied,7,Home Appliances,Meets my needs perfectly.
FB00165,ORD00527,C0178,2023-03-26,3,Neutral,7,Lifestyle Goods,"Product is okay, nothing special."
FB00333,ORD01746,C0265,2023-03-26,4,Satisfied,7,Electronics,"Product is fine, delivery was on time."
FB00093,ORD01017,C0009,2023-03-27,4,Satisfied,7,Home Appliances,"Good product, works as expected."
FB00280,ORD02004,C0217,2023-03-28,3,Neutral,5,Lifestyle Goods,"Product is okay, nothing special."
FB00148,ORD00181,C0204,2023-03-29,4,Satisfied,9,Lifestyle Goods,Meets my needs perfectly.
FB00237,ORD01094,C0298,2023-03-29,4,Satisfied,9,Electronics,Meets my needs perfectly.
FB00538,ORD00405,C0065,2023-03-30,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00422,ORD00417,C0129,2023-03-30,4,Satisfied,7,Electronics,"Good product, works as expected."
FB00130,ORD00351,C0373,2023-03-30,3,Neutral,7,Home Appliances,"Product is okay, nothing special."
FB00639,ORD00751,C0154,2023-03-31,2,Dissatisfied,4,Electronics,Not what I expected from the description.
FB00317,ORD00374,C0294,2023-04-01,4,Satisfied,7,Electronics,Meets my needs perfectly.
FB00088,ORD01803,C0146,2023-04-01,3,Neutral,5,Home Appliances,No complaints but not impressed either.
FB00916,ORD01146,C0144,2023-04-01,3,Neutral,5,Home Appliances,"Product is okay, nothing special."
FB00734,ORD00832,C0056,2023-04-02,4,Satisfied,7,Lifestyle Goods,Meets my needs perfectly.
FB00247,ORD01066,C0293,2023-04-02,3,Neutral,7,Home Appliances,No complaints but not impressed either.
FB00845,ORD00999,C0128,2023-04-02,5,Very Satisfied,10,Home Appliances,Will definitely buy again.
FB00212,ORD00664,C0473,2023-04-03,2,Dissatisfied,3,Home Appliances,Had some issues with the product.
FB00949,ORD00786,C0372,2023-04-04,5,Very Satisfied,10,Lifestyle Goods,Fast delivery and great customer service.
FB00345,ORD01241,C0151,2023-04-05,4,Satisfied,9,Lifestyle Goods,Meets my needs perfectly.
FB00513,ORD02498,C0112,2023-04-05,5,Very Satisfied,10,Lifestyle Goods,Great value for money.
FB00131,ORD00163,C0140,2023-04-06,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00121,ORD00191,C0224,2023-04-06,2,Dissatisfied,5,Lifestyle Goods,Had some issues with the product.
FB00652,ORD01133,C0464,2023-04-06,5,Very Satisfied,10,Lifestyle Goods,Fast delivery and great customer service.
FB00625,ORD02052,C0128,2023-04-06,5,Very Satisfied,10,Electronics,Product exceeded my expectations.
FB00989,ORD00768,C0396,2023-04-09,3,Neutral,7,Home Appliances,"Product is okay, nothing special."
FB00541,ORD00252,C0331,2023-04-09,3,Neutral,5,Lifestyle Goods,It works but could be better.
FB00063,ORD01227,C0174,2023-04-09,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00870,ORD00568,C0206,2023-04-09,5,Very Satisfied,10,Lifestyle Goods,Product exceeded my expectations.
FB00597,ORD01207,C0421,2023-04-09,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00791,ORD01664,C0145,2023-04-10,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00525,ORD02342,C0026,2023-04-11,2,Dissatisfied,4,Electronics,Customer service was slow to respond.
FB00454,ORD01175,C0029,2023-04-11,4,Satisfied,8,Electronics,Satisfied with the purchase.
FB00509,ORD02172,C0205,2023-04-11,5,Very Satisfied,10,Home Appliances,Fast delivery and great customer service.
FB00482,ORD01470,C0191,2023-04-12,4,Satisfied,9,Lifestyle Goods,"Product is fine, delivery was on time."
FB00721,ORD02087,C0268,2023-04-12,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00808,ORD00993,C0460,2023-04-12,4,Satisfied,9,Electronics,"Product is fine, delivery was on time."
FB00612,ORD00545,C0334,2023-04-12,5,Very Satisfied,9,Home Appliances,Excellent product quality! Highly recommend.
FB00745,ORD01090,C0023,2023-04-12,4,Satisfied,7,Lifestyle Goods,"Good product, works as expected."
FB00616,ORD00919,C0225,2023-04-12,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00700,ORD01988,C0227,2023-04-13,3,Neutral,6,Electronics,"Average quality, expected more."
FB00694,ORD01494,C0222,2023-04-13,5,Very Satisfied,10,Lifestyle Goods,Great value for money.
FB00945,ORD00775,C0003,2023-04-13,4,Satisfied,9,Electronics,Happy with the quality.
FB00699,ORD00945,C0207,2023-04-15,5,Very Satisfied,9,Home Appliances,Product exceeded my expectations.
FB00202,ORD02144,C0293,2023-04-15,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00899,ORD02458,C0417,2023-04-15,4,Satisfied,9,Lifestyle Goods,Satisfied with the purchase.
FB00826,ORD00933,C0070,2023-04-15,5,Very Satisfied,10,Lifestyle Goods,Will definitely buy again.
FB00568,ORD02034,C0267,2023-04-15,4,Satisfied,8,Lifestyle Goods,"Product is fine, delivery was on time."
FB00462,ORD01854,C0282,2023-04-16,4,Satisfied,9,Electronics,Happy with the quality.
FB00278,ORD00840,C0133,2023-04-18,4,Satisfied,7,Electronics,Satisfied with the purchase.
FB00975,ORD01441,C0262,2023-04-19,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00744,ORD00129,C0382,2023-04-19,5,Very Satisfied,10,Lifestyle Goods,Best purchase I have made this year!
FB00281,ORD01932,C0354,2023-04-20,5,Very Satisfied,9,Electronics,Fast delivery and great customer service.
FB00767,ORD00569,C0095,2023-04-21,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00430,ORD02475,C0167,2023-04-21,4,Satisfied,9,Home Appliances,"Good product, works as expected."
FB00182,ORD01232,C0170,2023-04-21,3,Neutral,6,Electronics,Decent product for the price.
FB00686,ORD00260,C0260,2023-04-21,1,Very Dissatisfied,1,Lifestyle Goods,"Waste of money, would not recommend."
FB00998,ORD00116,C0407,2023-04-22,5,Very Satisfied,9,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00255,ORD02217,C0463,2023-04-24,4,Satisfied,8,Home Appliances,Happy with the quality.
FB00411,ORD00306,C0398,2023-04-25,1,Very Dissatisfied,2,Electronics,Very disappointed with the quality.
FB00740,ORD01706,C0090,2023-04-25,5,Very Satisfied,9,Lifestyle Goods,Will definitely buy again.
FB00983,ORD00141,C0180,2023-04-26,5,Very Satisfied,9,Lifestyle Goods,Great value for money.
FB00477,ORD00138,C0296,2023-04-26,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00619,ORD00091,C0339,2023-04-26,4,Satisfied,8,Lifestyle Goods,Meets my needs perfectly.
FB00508,ORD02214,C0010,2023-04-26,5,Very Satisfied,9,Electronics,Great value for money.
FB00304,ORD00462,C0221,2023-04-27,5,Very Satisfied,10,Electronics,Fast delivery and great customer service.
FB00788,ORD00631,C0017,2023-04-28,5,Very Satisfied,9,Lifestyle Goods,Great value for money.
FB00564,ORD01055,C0458,2023-04-28,4,Satisfied,8,Home Appliances,"Good product, works as expected."
FB00695,ORD01537,C0388,2023-04-28,4,Satisfied,9,Home Appliances,"Good product, works as expected."
FB00799,ORD02117,C0086,2023-05-01,2,Dissatisfied,3,Lifestyle Goods,Had some issues with the product.
FB00569,ORD02373,C0378,2023-05-02,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00262,ORD00471,C0066,2023-05-05,5,Very Satisfied,10,Electronics,Will definitely buy again.
FB00275,ORD01443,C0402,2023-05-05,4,Satisfied,8,Electronics,Happy with the quality.
FB00272,ORD00879,C0179,2023-05-06,5,Very Satisfied,10,Home Appliances,Great value for money.
FB00727,ORD01046,C0395,2023-05-08,4,Satisfied,9,Lifestyle Goods,Happy with the quality.
FB00890,ORD00920,C0398,2023-05-08,4,Satisfied,8,Lifestyle Goods,Satisfied with the purchase.
FB00648,ORD01464,C0049,2023-05-09,5,Very Satisfied,10,Lifestyle Goods,Product exceeded my expectations.
FB00815,ORD01036,C0233,2023-05-09,4,Satisfied,7,Home Appliances,"Good product, works as expected."
FB00603,ORD02470,C0180,2023-05-10,4,Satisfied,8,Home Appliances,Happy with the quality.
FB00857,ORD00676,C0383,2023-05-11,4,Satisfied,8,Lifestyle Goods,Happy with the quality.
FB00207,ORD01044,C0384,2023-05-14,3,Neutral,5,Lifestyle Goods,Decent product for the price.
FB00019,ORD01424,C0188,2023-05-14,4,Satisfied,9,Lifestyle Goods,"Product is fine, delivery was on time."
FB00958,ORD01534,C0477,2023-05-15,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00738,ORD00246,C0305,2023-05-16,1,Very Dissatisfied,2,Lifestyle Goods,"Waste of money, would not recommend."
FB00797,ORD02155,C0446,2023-05-18,5,Very Satisfied,9,Lifestyle Goods,Fast delivery and great customer service.
FB00341,ORD00400,C0314,2023-05-18,3,Neutral,5,Lifestyle Goods,Decent product for the price.
FB00470,ORD00936,C0360,2023-05-18,5,Very Satisfied,10,Lifestyle Goods,Excellent product quality! Highly recommend.
FB00719,ORD00624,C0373,2023-05-19,3,Neutral,7,Electronics,No complaints but not impressed either.
FB00955,ORD01316,C0400,2023-05-20,5,Very Satisfied,10,Lifestyle Goods,Will definitely buy again.
FB00347,ORD01273,C0022,2023-05-20,3,Neutral,7,Home Appliances,"Average quality, expected more."
FB00051,ORD01974,C0270,2023-05-20,4,Satisfied,8,Lifestyle Goods,Satisfied with the purchase.
FB00358,ORD00334,C0033,2023-05-21,4,Satisfied,7,Lifestyle Goods,"Product is fine, delivery was on time."
FB00320,ORD01549,C0054,2023-05-22,1,Very Dissatisfied,2,Home Appliances,Product arrived damaged.
FB00629,ORD00937,C0128,2023-05-23,4,Satisfied,9,Electronics,Satisfied with the purchase.
FB00933,ORD00532,C0056,2023-05-23,4,Satisfied,8,Home Appliances,Happy with the quality.
FB00878,ORD01556,C0071,2023-05-25,3,Neutral,7,Home Appliances,"Product is okay, nothing special."
FB00574,ORD01013,C0199,2023-05-25,5,Very Satisfied,9,Lifestyle Goods,Fast delivery and great customer service.
FB00959,ORD01339,C0332,2023-05-25,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00921,ORD01902,C0028,2023-05-25,5,Very Satisfied,9,Home Appliances,Great value for money.
FB00417,ORD00985,C0329,2023-05-26,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00376,ORD01668,C0383,2023-05-26,1,Very Dissatisfied,3,Home Appliances,Does not work as advertised.
FB00334,ORD01147,C0215,2023-05-26,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00011,ORD00941,C0296,2023-05-27,5,Very Satisfied,9,Lifestyle Goods,Will definitely buy again.
FB00746,ORD00035,C0403,2023-05-27,5,Very Satisfied,9,Home Appliances,Will definitely buy again.
FB00082,ORD01822,C0438,2023-05-27,5,Very Satisfied,9,Lifestyle Goods,Best purchase I have made this year!
FB00516,ORD02174,C0391,2023-05-28,3,Neutral,7,Electronics,It works but could be better.
FB00855,ORD00805,C0154,2023-05-28,1,Very Dissatisfied,1,Home Appliances,Very disappointed with the quality.
FB00505,ORD00755,C0405,2023-05-28,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00437,ORD01542,C0494,2023-05-29,4,Satisfied,8,Home Appliances,"Product is fine, delivery was on time."
FB00136,ORD00032,C0047,2023-05-29,2,Dissatisfied,3,Lifestyle Goods,Had some issues with the product.
FB00164,ORD00258,C0080,2023-05-29,4,Satisfied,7,Electronics,Happy with the quality.
FB00126,ORD00790,C0138,2023-05-30,5,Very Satisfied,10,Electronics,Great value for money.
FB00183,ORD01670,C0153,2023-05-31,2,Dissatisfied,5,Lifestyle Goods,Delivery was delayed.
FB00329,ORD00984,C0196,2023-05-31,4,Satisfied,9,Lifestyle Goods,Happy with the quality.
FB00151,ORD00887,C0262,2023-06-01,4,Satisfied,7,Home Appliances,"Good product, works as expected."
FB00070,ORD01417,C0176,2023-06-01,3,Neutral,7,Lifestyle Goods,"Average quality, expected more."
FB00882,ORD00822,C0325,2023-06-02,3,Neutral,6,Electronics,Decent product for the price.
FB00913,ORD00525,C0149,2023-06-02,3,Neutral,5,Electronics,It works but could be better.
FB00107,ORD01673,C0064,2023-06-02,4,Satisfied,9,Electronics,"Product is fine, delivery was on time."
FB00459,ORD00440,C0161,2023-06-03,1,Very Dissatisfied,3,Lifestyle Goods,Product arrived damaged.
FB00517,ORD00645,C0339,2023-06-03,5,Very Satisfied,10,Home Appliances,Will definitely buy again.
FB00769,ORD00994,C0386,2023-06-05,5,Very Satisfied,10,Electronics,Will definitely buy again.
FB00313,ORD02026,C0029,2023-06-05,4,Satisfied,9,Electronics,"Product is fine, delivery was on time."
FB00485,ORD00479,C0311,2023-06-08,3,Neutral,6,Lifestyle Goods,No complaints but not impressed either.
FB00234,ORD01026,C0143,2023-06-09,3,Neutral,7,Electronics,No complaints but not impressed either.
FB00189,ORD00089,C0067,2023-06-09,2,Dissatisfied,3,Home Appliances,Not what I expected from the description.
FB00825,ORD00067,C0454,2023-06-10,3,Neutral,6,Home Appliances,"Product is okay, nothing special."
FB00587,ORD00110,C0034,2023-06-11,4,Satisfied,8,Electronics,Happy with the quality.
FB00140,ORD00297,C0071,2023-06-11,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00178,ORD01832,C0242,2023-06-11,3,Neutral,6,Lifestyle Goods,"Average quality, expected more."
FB00494,ORD02120,C0274,2023-06-12,3,Neutral,6,Home Appliances,Decent product for the price.
FB00198,ORD01970,C0044,2023-06-12,5,Very Satisfied,10,Lifestyle Goods,Fast delivery and great customer service.
FB00220,ORD01990,C0156,2023-06-13,3,Neutral,6,Electronics,It works but could be better.
FB00185,ORD00502,C0212,2023-06-13,1,Very Dissatisfied,3,Lifestyle Goods,"Waste of money, would not recommend."
FB00846,ORD02020,C0008,2023-06-14,3,Neutral,7,Home Appliances,"Average quality, expected more."
FB00802,ORD00304,C0281,2023-06-15,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00787,ORD01455,C0487,2023-06-15,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00352,ORD01925,C0243,2023-06-15,4,Satisfied,9,Lifestyle Goods,Meets my needs perfectly.
FB00030,ORD00773,C0379,2023-06-16,2,Dissatisfied,4,Home Appliances,Had some issues with the product.
FB00718,ORD00824,C0367,2023-06-17,4,Satisfied,8,Home Appliances,Meets my needs perfectly.
FB00382,ORD01849,C0045,2023-06-17,4,Satisfied,8,Electronics,Meets my needs perfectly.
FB00009,ORD01756,C0096,2023-06-17,4,Satisfied,8,Electronics,Satisfied with the purchase.
FB00659,ORD00961,C0226,2023-06-19,2,Dissatisfied,4,Home Appliances,Product quality could be better.
FB00458,ORD01314,C0034,2023-06-19,4,Satisfied,7,Electronics,Happy with the quality.
FB00860,ORD01830,C0200,2023-06-21,4,Satisfied,9,Lifestyle Goods,Meets my needs perfectly.
FB00071,ORD01608,C0021,2023-06-21,5,Very Satisfied,10,Electronics,Best purchase I have made this year!
FB00105,ORD01333,C0438,2023-06-21,2,Dissatisfied,3,Home Appliances,Not what I expected from the description.
FB00671,ORD00372,C0348,2023-06-21,4,Satisfied,7,Home Appliances,"Product is fine, delivery was on time."
FB00960,ORD00450,C0417,2023-06-22,5,Very Satisfied,10,Home Appliances,Excellent product quality! Highly recommend.
FB00843,ORD01667,C0274,2023-06-22,2,Dissatisfied,5,Electronics,Customer service was slow to respond.
FB00816,ORD01728,C0092,2023-06-25,2,Dissatisfied,5,Home Appliances,Customer service was slow to respond.
FB00511,ORD01054,C0131,2023-06-25,2,Dissatisfied,5,Lifestyle Goods,Customer service was slow to respond.
FB00774,ORD01949,C0328,2023-06-26,3,Neutral,6,Lifestyle Goods,"Average quality, expected more."
FB00407,ORD00509,C0236,2023-06-29,4,Satisfied,7,Lifestyle Goods,"Product is fine, delivery was on time."
FB00784,ORD02318,C0445,2023-06-29,4,Satisfied,7,Electronics,Happy with the quality.
FB00976,ORD01397,C0296,2023-06-29,4,Satisfied,9,Lifestyle Goods,"Good product, works as expected."
FB00920,ORD01174,C0252,2023-06-30,4,Satisfied,7,Electronics,Satisfied with the purchase.
FB00069,ORD00548,C0214,2023-07-01,2,Dissatisfied,4,Lifestyle Goods,Delivery was delayed.
FB00982,ORD01906,C0235,2023-07-01,4,Satisfied,9,Electronics,"Good product, works as expected."
FB00199,ORD01197,C0374,2023-07-02,3,Neutral,7,Electronics,"Product is okay, nothing special."
FB00997,ORD01461,C0448,2023-07-02,4,Satisfied,8,Electronics,"Product is fine, delivery was on time."
FB00153,ORD00929,C0166,2023-07-03,2,Dissatisfied,4,Lifestyle Goods,Customer service was slow to respond.
FB00092,ORD01548,C0375,2023-07-03,5,Very Satisfied,9,Lifestyle Goods,Great value for money.
FB00605,ORD00422,C0304,2023-07-03,4,Satisfied,9,Home Appliances,Happy with the quality.
FB00814,ORD01698,C0003,2023-07-03,5,Very Satisfied,9,Home Appliances,Will definitely buy again.
FB00696,ORD01476,C0058,2023-07-03,4,Satisfied,8,Electronics,"Product is fine, delivery was on time."
FB00173,ORD01787,C0244,2023-07-04,2,Dissatisfied,4,Lifestyle Goods,Had some issues with the product.
FB00653,ORD01682,C0344,2023-07-06,4,Satisfied,7,Lifestyle Goods,Satisfied with the purchase.
FB00821,ORD02443,C0037,2023-07-07,4,Satisfied,7,Electronics,Meets my needs perfectly.
